Id,article_no,article_link,authors,publish_date,image_url,title
0,article1,https://www.dailymaverick.co.za/article/2020-10-05-part-2-of-two-stories-gautengs-covid-19-infrastructure-splurge-wheres-andy-the-multimillion-rand-floor-man-and-why-was-he-paid-so-much/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorruptAndy.jpg?w=1280,"Gauteng’s Covid-19 infrastructure splurge: Where’s Andy, the multimillion-rand floor man, and why was he paid so much?"
5,article1,https://www.dailymaverick.co.za/article/2020-10-05-part-2-of-two-stories-gautengs-covid-19-infrastructure-splurge-wheres-andy-the-multimillion-rand-floor-man-and-why-was-he-paid-so-much/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorruptAndy.jpg?w=1280,"Gauteng’s Covid-19 infrastructure splurge: Where’s Andy, the multimillion-rand floor man, and why was he paid so much?"
6,article1,https://www.dailymaverick.co.za/article/2020-10-05-part-2-of-two-stories-gautengs-covid-19-infrastructure-splurge-wheres-andy-the-multimillion-rand-floor-man-and-why-was-he-paid-so-much/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorruptAndy.jpg?w=1280,"Gauteng’s Covid-19 infrastructure splurge: Where’s Andy, the multimillion-rand floor man, and why was he paid so much?"
16,article1,https://www.dailymaverick.co.za/article/2020-09-25-big-questions-loom-over-gautengs-billion-rand-field-icu-hospitals/,Mark Heywood,2020-09-25,https://www.dailymaverick.co.za/wp-content/uploads/MC-FieldHospitals-heywood_2.jpg?w=1197,Big questions loom over Gauteng’s billion-rand ICU field hospitals
16,article3,https://www.dailymaverick.co.za/article/2020-10-22-gauteng-infrastructure-department-fails-to-answer-important-questions-on-the-multimillion-rand-icu-spend/,Mark Heywood,2020-10-22,https://www.dailymaverick.co.za/wp-content/uploads/MC-GautengFollow-Heywood_27-1.jpg?w=1280,Gauteng Infrastructure Department fails to answer important questions on the billion-rand ICU spend
16,article2,https://www.dailymaverick.co.za/article/2020-10-05-part-1-of-two-stories-gautengs-covid-19-infrastructure-splurge-new-report-raises-more-questions-than-answers/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorrupt-Heywood_2.jpg?w=1280,Gauteng’s Covid-19 infrastructure splurge: New report on R1.2bn spend raises more questions than answers
17,article3,https://www.dailymaverick.co.za/article/2020-10-22-gauteng-infrastructure-department-fails-to-answer-important-questions-on-the-multimillion-rand-icu-spend/,Mark Heywood,2020-10-22,https://www.dailymaverick.co.za/wp-content/uploads/MC-GautengFollow-Heywood_27-1.jpg?w=1280,Gauteng Infrastructure Department fails to answer important questions on the billion-rand ICU spend
17,article2,https://www.dailymaverick.co.za/article/2020-10-05-part-1-of-two-stories-gautengs-covid-19-infrastructure-splurge-new-report-raises-more-questions-than-answers/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorrupt-Heywood_2.jpg?w=1280,Gauteng’s Covid-19 infrastructure splurge: New report on R1.2bn spend raises more questions than answers
17,article1,https://www.dailymaverick.co.za/article/2020-09-25-big-questions-loom-over-gautengs-billion-rand-field-icu-hospitals/,Mark Heywood,2020-09-25,https://www.dailymaverick.co.za/wp-content/uploads/MC-FieldHospitals-heywood_2.jpg?w=1197,Big questions loom over Gauteng’s billion-rand ICU field hospitals
18,article2,https://www.dailymaverick.co.za/article/2020-10-05-part-1-of-two-stories-gautengs-covid-19-infrastructure-splurge-new-report-raises-more-questions-than-answers/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorrupt-Heywood_2.jpg?w=1280,Gauteng’s Covid-19 infrastructure splurge: New report on R1.2bn spend raises more questions than answers
18,article1,https://www.dailymaverick.co.za/article/2020-09-25-big-questions-loom-over-gautengs-billion-rand-field-icu-hospitals/,Mark Heywood,2020-09-25,https://www.dailymaverick.co.za/wp-content/uploads/MC-FieldHospitals-heywood_2.jpg?w=1197,Big questions loom over Gauteng’s billion-rand ICU field hospitals
18,article3,https://www.dailymaverick.co.za/article/2020-10-22-gauteng-infrastructure-department-fails-to-answer-important-questions-on-the-multimillion-rand-icu-spend/,Mark Heywood,2020-10-22,https://www.dailymaverick.co.za/wp-content/uploads/MC-GautengFollow-Heywood_27-1.jpg?w=1280,Gauteng Infrastructure Department fails to answer important questions on the billion-rand ICU spend
19,article2,https://www.dailymaverick.co.za/article/2020-10-05-part-1-of-two-stories-gautengs-covid-19-infrastructure-splurge-new-report-raises-more-questions-than-answers/,Mark Heywood,2020-10-05,https://www.dailymaverick.co.za/wp-content/uploads/MC-ICUCorrupt-Heywood_2.jpg?w=1280,Gauteng’s Covid-19 infrastructure splurge: New report on R1.2bn spend raises more questions than answers
19,article3,https://www.dailymaverick.co.za/article/2020-10-22-gauteng-infrastructure-department-fails-to-answer-important-questions-on-the-multimillion-rand-icu-spend/,Mark Heywood,2020-10-22,https://www.dailymaverick.co.za/wp-content/uploads/MC-GautengFollow-Heywood_27-1.jpg?w=1280,Gauteng Infrastructure Department fails to answer important questions on the billion-rand ICU spend
19,article1,https://www.dailymaverick.co.za/article/2020-09-25-big-questions-loom-over-gautengs-billion-rand-field-icu-hospitals/,Mark Heywood,2020-09-25,https://www.dailymaverick.co.za/wp-content/uploads/MC-FieldHospitals-heywood_2.jpg?w=1197,Big questions loom over Gauteng’s billion-rand ICU field hospitals
26,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
27,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
28,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
29,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
30,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
31,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
32,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
