No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
481,Orders flagged by media,price goudging,SAPS price orders with excessive pricing,article1,https://www.dailymaverick.co.za/article/2021-10-13-data-analysis-of-the-national-treasury-records-reveals-extent-of-price-gouging-on-ppe/,Data analysis of the National Treasury records reveals...,Kavisha Pillay,2021-10-13,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-PolicePPE_3.jpg?w=1280,Sa police service,The Dream Events,PPE001 Surgical masks for patients,2020-03-31,2020-04-14,78.77,8500,Box of 50,669578.49,669578
6758,Orders flagged by media,price goudging,SAPS price orders with excessive pricing,article1,https://www.dailymaverick.co.za/article/2021-10-13-data-analysis-of-the-national-treasury-records-reveals-extent-of-price-gouging-on-ppe/,Data analysis of the National Treasury records reveals...,Kavisha Pillay,2021-10-13,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-PolicePPE_3.jpg?w=1280,Sa police service,The Dream Events,PPE001 Surgical masks for patients,2020-03-25,2020-03-27,155.00,10000,Box of 50,1550000,1550000
15671,Orders flagged by media,price goudging,SAPS price orders with excessive pricing,article1,https://www.dailymaverick.co.za/article/2021-10-13-data-analysis-of-the-national-treasury-records-reveals-extent-of-price-gouging-on-ppe/,Data analysis of the National Treasury records reveals...,Kavisha Pillay,2021-10-13,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-PolicePPE_3.jpg?w=1280,Sa police service,Zwanaka Marketing,PPE015 Non-sterile examination gloves,2020-04-17,2020-04-20,350.00,400,Box of 100,140000,140000
15693,Orders flagged by media,price goudging,SAPS price orders with excessive pricing,article1,https://www.dailymaverick.co.za/article/2021-10-13-data-analysis-of-the-national-treasury-records-reveals-extent-of-price-gouging-on-ppe/,Data analysis of the National Treasury records reveals...,Kavisha Pillay,2021-10-13,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-PolicePPE_3.jpg?w=1280,Sa police service,Zwanaka Marketing,PPE020 Hand sanitisers and disinfectants,2020-04-17,2020-04-20,1167.50,500,500ml,583750,583750
4014,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,South african social security agency,Handy Safety Solutions,PPE018 3 Layer fabric cloth masks_Face Cloth Masks,2020-11-27,2021-01-19,75000.00,25,Each,75000,75000
5814,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Unemployment insurance fund,Power Full Cleaning And Projects,PPE001 Surgical masks for patients,2020-03-26,2020-03-31,450000.00,2500,Each,450000,450000
7245,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Lejweleputswa district municipality,Hygiene Outright,PPE002 Surgical masks for healt care workers,2020-07-24,2020-09-08,26086.84,108,Each,29999.87,26087
10608,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Gauteng - social development,Liora Medical Supplies,PPE001 Surgical masks for patients_Not applicable,2021-07-21,2021-08-17,4410.00,8,Each,35280,35280
15502,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Department of water and sanitation,1050791    Upington Ateljee Bk,PPE018 3 Layer fabric cloth masks_Face Masks,2020-06-17,,4478.00,1,Each,4478,4478
16542,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Office of health standards compliance,The Viss,PPE001 Surgical masks for patients,2020-04-16,,18656.00,400,Each,18656,95314
37014,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Sakhisizwe local municipality,Batavia Trading,PPE002 Surgical masks for healt care workers,,2020-06-20,17250.00,1500,Each,17250,17250
37015,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Sakhisizwe local municipality,Batavia Trading,PPE002 Surgical masks for healt care workers,,2020-05-20,74750.00,6500,Each,74750,74750
37018,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,South african revenue services,Kbmo,PPE002 Surgical masks for healt care workers_N95 face masks,,,20526.00,300,Each,20526,20526
38165,Potential orders to investigate,price goudging,Orders with most expensive unit mask price,,,,,,,Eskom koeberg nuclear power station,Namasthethu Electrical,PPE018 3 Layer fabric cloth masks,,,108700.00,0.5,Each,21.74,108700
2360,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Interfront,Green Hygiene,PPE020 Hand sanitisers and disinfectants,2020-06-29,2020-11-07,281.75,2,5 Litre,563.5,564
2539,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_Powder Free Gloves Large,2020-05-29,2020-05-29,136.27,11,Box of 100,1499.03,1499
