category,problem,group,Institution_name,Item,Supplier_name,Unit_price,Quantity,UOM,Date_order,Date_payments,pay_num,order_num,Id
Orders flagged by media,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Screen walls on section of mortuary entrance at CHBAH,Royal Andy Trading Enterprise,0.0,0.00,Other UOM,2020-12-05,2020-09-17,974039,974039.0,0
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Emergenct renovation at maternity ward 59 to be converted to a Covid -19 ward at CHBAH,Glen And Dimakatso Trading And Projects And  Ayo Adekoya / Mainfirm Investments Jv,0.0,0.00,Other UOM,2020-05-26,2020-10-22,981347,1000000.0,1
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Repairs and upgrade at ward 14 for decanting at CHBAH,Bogart Building Construction,0.0,0.00,Other UOM,2020-04-30,2020-03-12,1280685,2375601.25,2
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Emergency HVF and  Airborne disease separation for ward 27 at CHBAH,Kamoso Projects,0.0,0.00,Other UOM,2020-04-24,2020-09-07,1625941,1625941.0,3
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Renovation at ward 60 for Covid-19 at CHBAH,Go Tlala Seatla Construction And Projects,0.0,0.00,Other UOM,2020-07-29,2020-10-26,1726416,1724387.75,4
Orders flagged by media,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Wooden floor at all tents in CHBAH,Royal Andy Trading Enterprise,0.0,0.00,Other UOM,2020-05-26,2020-07-24,1938728,1938727.5,5
Orders flagged by media,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Screen walls for Covid -19 wards at CHBAH,Royal Andy Trading Enterprise,0.0,0.00,Other UOM,2020-07-05,2020-07-24,2318513,2318531.0,6
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Total renovation at ward 21  for Covid-19 patients at  CHBAH,Leano Construction Solutions Pty Ltd,0.0,0.00,Other UOM,2020-08-06,2020-09-23,2780991,2781067.99,7
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Renovation of ward 44 to be high care for Covid -19 at CHBAH,Ayo Adekoya Trading Enterprise / Mainfirm Investments,0.0,0.00,Other UOM,2020-05-21,2020-09-17,3467542,3912695.85,8
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Total renovation for Covid-19 patients at ward 22 in CHBAH,Sks Business Solutions Cc,0.0,0.00,Other UOM,2020-08-06,2020-09-23,3469878,3474251.9,9
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,Infrastructure_Supply and installation of air condition for Covid-19 tents at CHBAH,Taroworx Pty Ltd,0.0,0.00,Other UOM,2020-04-24,2020-11-19,3695450,3700000.0,10
Potential orders to investigate,Big spending on infrastructure by GDID,Chris Hani Baragwanath Hospital spending,Gauteng - infrastructure development,"Infrastructure_Emergency services required for building, electrical, and merchanical repairs , alterations during the covid -19 outbreak and lockdown period at CHBAH",Khabaludaka Construction,0.0,0.00,Other UOM,2020-03-25,2020-02-06,3886701,3900000.0,11
Potential orders to investigate,Big spending on infrastructure by GDID,General building work orders,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at Discovery Hospital for a period of 4 months,Kokwane Holdings (Pty) Ltd,0.0,0.00,Other UOM,,,0,37917887.71,12
Potential orders to investigate,Big spending on infrastructure by GDID,General building work orders,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at DR. George Mukhari Hospital for a period of 4 months,Maziya General Services Cc,0.0,0.00,Other UOM,,,0,186006274.02,13
Potential orders to investigate,Big spending on infrastructure by GDID,General building work orders,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at Lanasia CHC for a period of 2 months,Qds Projects,0.0,0.00,Other UOM,,,0,34966132.13,14
Potential orders to investigate,Big spending on infrastructure by GDID,General building work orders,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at Tshwane District (Steve Biko Cluster) for a period of 3 months,Qds Projects,0.0,0.00,Other UOM,,,0,54762230.71,15
Orders flagged by media,Big spending on infrastructure by GDID,ICU orders,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",Concor Construction,0.0,0.00,Other UOM,,,0,268095000.0,16
Orders flagged by media,Big spending on infrastructure by GDID,ICU orders,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",Condocor (Pty) Ltd,0.0,0.00,Other UOM,,,0,220774176.35,17
Orders flagged by media,Big spending on infrastructure by GDID,ICU orders,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",Shomang Contruction Cc,0.0,0.00,Other UOM,,,0,233590803.0,18
Orders flagged by media,Big spending on infrastructure by GDID,ICU orders,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 500 ICU bed units on Turn key basis",Enza Construction,0.0,0.00,Other UOM,,,0,496616790.3,19
